12,22,58
13,22,58
12,22,58
12,21,57
12,23,58
13,21,60
14,21,61
13,21,59
13,21,59
13,21,59
13,22,58
14,22,58
14,22,58
14,23,58
14,23,59
14,21,59
13,21,58
14,21,59
14,21,59
14,22,58
14,21,57
14,21,57
14,22,57
14,21,58
14,21,57
14,22,57
15,23,59
14,22,58
13,21,57
14,22,57
14,23,59
14,22,58
14,21,57
14,21,57
14,22,58
15,22,58
15,23,58
15,23,58
15,22,58
15,22,58
15,22,58
14,22,59
14,22,58
14,22,58
14,22,57
15,22,58
15,22,58
15,22,58
15,22,58
16,22,58
15,22,58
15,22,58
15,23,58
14,23,57
14,22,58
13,21,58
13,21,57
14,21,58
14,22,59
14,22,59
14,22,58
14,23,59
15,23,59
13,22,58
13,21,58
13,21,57
14,22,58
14,22,60
14,22,60
14,21,58
14,21,58
13,21,58
14,22,59
14,22,59
14,23,58
13,22,58
13,21,59
13,21,58
13,21,58
13,21,59
14,22,59
13,22,59
13,21,59
13,21,58
13,22,58
13,22,58
13,21,58
13,21,58
13,21,59
13,20,59
13,21,59
13,22,59
13,21,59
13,21,58
13,21,58
13,22,58
13,22,58
13,21,59
13,21,58
12,21,58
13,21,59
13,22,59
12,21,59
13,21,59
12,21,58
13,21,58
13,22,59
14,22,60
13,22,59
