id,indra_time,browser_latency,reading_time,attention_esense,meditation_esense,signal_quality,createdAt,updatedAt,label,raw_len,raw_mean,raw_std,raw_min,raw_max,raw_median,raw_q05,raw_q95,raw_abs_mean,raw_clip_ratio,bp_delta,bp_theta,bp_low_alpha,bp_high_alpha,bp_low_beta,bp_high_beta,bp_low_gamma,bp_mid_gamma,split
1,2015-05-09 23:32:40.225,13405,2015-05-09 16:32:26.968,43,57,0,2015-05-09 23:32:13.619,2015-05-09 23:32:13.619+00,blink,512.0,46.197265625,27.079493660299363,-62.0,119.0,48.0,2.0,86.89999999999998,47.650390625,0.0,2125471.0,54989.0,9045.0,5227.0,5963.0,2967.0,822.0,434.0,val
3,2015-05-09 23:32:40.415,14855,2015-05-09 16:32:25.604,21,34,0,2015-05-09 23:32:10.906,2015-05-09 23:32:10.906+00,blink,512.0,23.5078125,106.6682573517766,-306.0,197.0,44.5,-225.45,150.89999999999998,85.9296875,0.0,565348.0,90380.0,10267.0,22863.0,12046.0,4999.0,1823.0,1677.0,test
12,2015-05-09 23:32:40.556,1517,2015-05-09 16:32:39.076,47,70,0,2015-05-09 23:32:37.648,2015-05-09 23:32:37.648+00,blink,512.0,23.765625,89.89468528984,-257.0,249.0,34.0,-180.45,167.14999999999992,68.140625,0.0,315745.0,58353.0,18459.0,6097.0,11511.0,10704.0,12315.0,7953.0,test
2,2015-05-09 23:32:40.567,138,2015-05-09 16:32:40.450,40,69,0,2015-05-09 23:32:40.487,2015-05-09 23:32:40.487+00,blink,512.0,51.189453125,41.9545564943598,-105.0,250.0,50.0,6.0,105.24999999999994,53.841796875,0.0,3583870.0,170161.0,63287.0,33185.0,14394.0,10395.0,9133.0,6162.0,val
10,2015-05-09 23:32:40.600,-17,2015-05-09 16:32:40.853,67,43,0,2015-05-09 23:32:40.937,2015-05-09 23:32:40.937+00,blink,512.0,-20.806640625,201.7768523865587,-583.0,420.0,-3.0,-392.45,312.9,153.564453125,0.0,208570.0,53985.0,15628.0,5470.0,21074.0,10980.0,5573.0,14061.0,train
6,2015-05-09 23:32:40.601,"-1,560",2015-05-09 16:32:42.266,56,4,0,2015-05-09 23:32:43.885,2015-05-09 23:32:43.885+00,blink,512.0,39.462890625,69.99560944548084,-126.0,265.0,34.0,-65.9,160.0,61.666015625,0.0,116626.0,23564.0,5143.0,2896.0,6993.0,5776.0,2422.0,2175.0,train
9,2015-05-09 23:32:40.704,10528,2015-05-09 16:32:30.349,34,69,0,2015-05-09 23:32:19.876,2015-05-09 23:32:19.876+00,blink,512.0,36.5859375,63.12144511571399,-138.0,280.0,33.0,-59.45,134.45,57.2265625,0.0,898359.0,343796.0,107926.0,30660.0,58701.0,72153.0,108979.0,34224.0,train
8,2015-05-09 23:32:40.753,-38,2015-05-09 16:32:40.790,61,57,0,2015-05-09 23:32:40.895,2015-05-09 23:32:40.895+00,blink,512.0,44.294921875,488.15468553058327,-1865.0,2047.0,86.0,-1071.95,483.25,261.751953125,0.0078125,112370.0,23192.0,29506.0,4431.0,8787.0,32926.0,6363.0,4771.0,train
7,2015-05-09 23:32:40.863,15,2015-05-09 16:32:41.066,37,47,0,2015-05-09 23:32:41.112,2015-05-09 23:32:41.112+00,blink,512.0,54.078125,61.00817816272156,-27.0,449.0,43.0,-4.0,176.89999999999998,55.5,0.0,48707.0,33606.0,34038.0,26228.0,15359.0,10437.0,6192.0,2566.0,train
13,2015-05-09 23:32:40.911,282,2015-05-09 16:32:40.854,35,64,0,2015-05-09 23:32:41.214,2015-05-09 23:32:41.214+00,blink,512.0,40.2734375,67.93522475994021,-177.0,228.0,45.0,-76.45,147.79999999999995,65.21484375,0.0,2122985.0,943614.0,45075.0,99717.0,53836.0,52976.0,55261.0,42000.0,train
11,2015-05-09 23:32:41.020,-168,2015-05-09 16:32:41.204,14,50,0,2015-05-09 23:32:41.427,2015-05-09 23:32:41.427+00,blink,512.0,37.107421875,61.55363343187607,-123.0,236.0,37.0,-65.0,148.45,56.412109375,0.0,495512.0,42568.0,10347.0,5793.0,5148.0,6507.0,10344.0,9184.0,val
4,2015-05-09 23:32:41.073,7704,2015-05-09 19:32:33.613,47,37,0,2015-05-09 23:32:25.982,2015-05-09 23:32:25.982+00,blink,512.0,53.193359375,222.01767357077023,-566.0,729.0,70.0,-374.4,470.69999999999993,164.783203125,0.0,121192.0,13462.0,1654.0,2192.0,2737.0,3331.0,1309.0,354.0,test
5,2015-05-09 23:32:41.080,1023,2015-05-09 16:32:40.110,80,47,0,2015-05-09 23:32:39.146,2015-05-09 23:32:39.146+00,blink,512.0,52.435546875,63.88019598862137,-99.0,283.0,52.5,-65.45,162.0,67.931640625,0.0,98411.0,33450.0,19366.0,26811.0,17756.0,16375.0,3760.0,12692.0,test
